epoch,val_loss,val_dice,val_iou,val_precision,val_recall
1,0.73,0.14,0.0176,0.1787,0.019
2,0.6901,0.1407,0.0418,0.3888,0.0449
3,0.6792,0.149,0.0963,0.4917,0.1072
4,0.6662,0.1597,0.2112,0.5167,0.265
5,0.6577,0.1826,0.2763,0.4503,0.4185
6,0.6454,0.1949,0.3415,0.5385,0.4848
7,0.6376,0.208,0.3779,0.5656,0.5339
8,0.6262,0.2153,0.392,0.565,0.5634
9,0.624,0.2246,0.4084,0.5465,0.6201
10,0.6162,0.2299,0.4296,0.5719,0.636
11,0.6114,0.2318,0.4378,0.5881,0.6338
12,0.6068,0.2364,0.4353,0.5719,0.6484
13,0.6007,0.2382,0.4442,0.5838,0.6523
14,0.6018,0.2446,0.4648,0.5967,0.6795
15,0.5984,0.2481,0.4609,0.5813,0.692
16,0.5965,0.2454,0.4585,0.5932,0.6709
17,0.5944,0.2488,0.4613,0.5895,0.6813
18,0.592,0.2533,0.4723,0.5924,0.7013
19,0.5879,0.2509,0.4763,0.6112,0.6851
20,0.587,0.2548,0.4662,0.5879,0.6941
1,0.7583,0.1484,0.0366,0.1715,0.0444
2,0.7207,0.1436,0.0106,0.1144,0.0115
3,0.7047,0.1402,0.0053,0.1291,0.0055
4,0.6961,0.1395,0.0044,0.1952,0.0045
5,0.688,0.1415,0.0077,0.2369,0.0079
1,0.7371,0.1421,0.0066,0.1186,0.007
2,0.6959,0.1437,0.0294,0.4701,0.0303
3,0.6796,0.1563,0.161,0.5335,0.1888
4,0.6679,0.1647,0.2405,0.5229,0.3108
5,0.6594,0.1821,0.3057,0.508,0.4361
6,0.6493,0.1926,0.3351,0.522,0.4854
7,0.641,0.201,0.3501,0.5267,0.5126
8,0.6348,0.2129,0.3829,0.5387,0.5721
9,0.6268,0.2189,0.3977,0.5557,0.5852
10,0.6242,0.2269,0.4112,0.5517,0.6197
11,0.6191,0.2314,0.4238,0.5626,0.6344
12,0.61,0.2364,0.4328,0.566,0.65
13,0.6097,0.2403,0.4515,0.5899,0.6599
14,0.6052,0.2442,0.4621,0.6005,0.6688
15,0.6025,0.246,0.461,0.5957,0.6726
16,0.5991,0.2482,0.4571,0.5851,0.6781
17,0.5988,0.2499,0.467,0.6001,0.6793
18,0.5957,0.2554,0.4733,0.5972,0.6971
19,0.5919,0.257,0.4806,0.6052,0.7016
20,0.5894,0.2548,0.4797,0.6204,0.6808
1,0.7599,0.146,0.0808,0.2454,0.1077
2,0.7231,0.1413,0.0307,0.2297,0.0342
3,0.7075,0.1381,0.019,0.2278,0.0202
4,0.6985,0.1372,0.0219,0.3113,0.0228
5,0.6919,0.1386,0.0428,0.4999,0.0449
1,0.7474,0.1468,0.0222,0.1652,0.0251
2,0.7101,0.1419,0.0097,0.1646,0.0101
3,0.6964,0.1412,0.0134,0.2613,0.0138
4,0.6863,0.1452,0.0646,0.503,0.0692
5,0.6806,0.154,0.1432,0.4311,0.1767
6,0.6754,0.1575,0.1901,0.4602,0.2462
7,0.6707,0.164,0.2133,0.4496,0.2898
8,0.6611,0.1748,0.2508,0.4661,0.3536
9,0.6546,0.1802,0.2862,0.5111,0.3951
10,0.6533,0.1904,0.3168,0.5217,0.4473
11,0.6448,0.1956,0.3375,0.5494,0.4681
12,0.6425,0.2033,0.3525,0.5333,0.511
13,0.6362,0.2082,0.365,0.5409,0.5308
14,0.6326,0.2114,0.3742,0.5556,0.5363
15,0.6291,0.2172,0.3909,0.5598,0.5664
16,0.625,0.2242,0.4075,0.5587,0.6031
17,0.6256,0.2272,0.4198,0.5706,0.6157
18,0.6202,0.2272,0.4188,0.5745,0.6093
19,0.6154,0.233,0.4229,0.5579,0.6386
20,0.6154,0.2324,0.4246,0.5672,0.6302
1,0.711,0.1372,0.0324,0.4158,0.0338
2,0.6743,0.1588,0.2151,0.4971,0.2764
3,0.6536,0.1907,0.3298,0.4984,0.4959
4,0.6342,0.2088,0.3919,0.5619,0.5654
5,0.6217,0.2187,0.4035,0.5472,0.6073
6,0.6145,0.2332,0.4315,0.547,0.6734
7,0.6084,0.2285,0.4255,0.5694,0.6292
8,0.5996,0.2418,0.4633,0.5948,0.679
9,0.5942,0.2435,0.4683,0.602,0.6801
10,0.5933,0.2519,0.4781,0.5951,0.7104
11,0.5861,0.2442,0.4371,0.5688,0.6554
12,0.5817,0.253,0.474,0.6066,0.6861
13,0.5777,0.2523,0.4596,0.5853,0.6831
14,0.5749,0.2624,0.4993,0.6279,0.7106
15,0.5679,0.2602,0.4749,0.6033,0.6921
16,0.5664,0.2644,0.4751,0.5988,0.6983
17,0.5706,0.2727,0.5027,0.6169,0.7324
18,0.5575,0.2679,0.4774,0.603,0.6978
19,0.5569,0.2738,0.4928,0.6118,0.7184
20,0.5564,0.2709,0.4711,0.5919,0.6992
1,0.7527,0.1469,0.063,0.2093,0.0828
2,0.719,0.142,0.0182,0.17,0.0199
3,0.7044,0.1394,0.0137,0.2025,0.0144
4,0.6931,0.1402,0.0381,0.4078,0.0403
5,0.6882,0.1442,0.0781,0.4321,0.0872
6,0.682,0.148,0.1014,0.4749,0.1145
7,0.6776,0.1526,0.1663,0.484,0.203
8,0.6721,0.1568,0.1937,0.4709,0.2498
9,0.6675,0.1623,0.2178,0.4712,0.2905
10,0.6636,0.1713,0.2506,0.4704,0.3521
11,0.6576,0.1755,0.2739,0.5032,0.3775
12,0.6548,0.1843,0.2983,0.4985,0.4278
13,0.6518,0.1904,0.3176,0.5031,0.4643
14,0.6461,0.1952,0.3341,0.527,0.4791
15,0.6432,0.2014,0.3558,0.5291,0.5228
16,0.6377,0.2055,0.3617,0.5282,0.5363
17,0.6338,0.207,0.369,0.5309,0.5497
18,0.63,0.2114,0.3847,0.5438,0.5704
19,0.631,0.2157,0.3974,0.5479,0.5938
20,0.6258,0.2197,0.4101,0.5562,0.6125
1,0.6922,0.1331,0.0617,0.3679,0.0691
2,0.646,0.1635,0.0974,0.3302,0.1218
3,0.6185,0.1927,0.3407,0.7081,0.397
4,0.5803,0.2368,0.3753,0.6021,0.5004
5,0.5578,0.2668,0.4437,0.6744,0.565
6,0.5429,0.2818,0.4513,0.6588,0.5898
7,0.5244,0.286,0.4437,0.6422,0.5902
8,0.5203,0.2948,0.4713,0.6763,0.6101
9,0.52,0.3011,0.4737,0.6952,0.5992
10,0.5182,0.3001,0.4771,0.6922,0.6069
11,0.5061,0.3149,0.4868,0.6636,0.6475
12,0.5037,0.3172,0.4819,0.6553,0.6468
13,0.5205,0.3186,0.5032,0.6805,0.66
14,0.503,0.3255,0.5161,0.7081,0.6567
15,0.4991,0.3047,0.4407,0.6084,0.6163
16,0.5059,0.3331,0.5183,0.6762,0.6907
17,0.5005,0.3202,0.4718,0.635,0.6488
18,0.5009,0.3373,0.5315,0.6945,0.695
19,0.4962,0.3388,0.5063,0.6509,0.6965
20,0.4988,0.3287,0.5096,0.6772,0.6744
1,0.7216,0.1285,0.0006,0.1069,0.0006
2,0.6697,0.1445,0.0011,0.0389,0.0011
3,0.6491,0.1604,0.1532,0.6744,0.1653
4,0.6274,0.1735,0.2838,0.6896,0.3255
5,0.6112,0.203,0.3858,0.5641,0.55
6,0.5888,0.2376,0.4236,0.551,0.6482
7,0.5734,0.2535,0.4398,0.5803,0.6461
8,0.5643,0.2526,0.4357,0.6196,0.596
9,0.5476,0.2666,0.4642,0.6432,0.6264
10,0.5392,0.2831,0.4596,0.583,0.6859
11,0.5359,0.2965,0.4901,0.6152,0.708
12,0.5326,0.2989,0.4665,0.5826,0.7016
13,0.5227,0.296,0.4817,0.6342,0.6683
14,0.5171,0.291,0.4788,0.661,0.6361
15,0.5129,0.3104,0.4786,0.6012,0.7028
1,0.6987,0.1437,0.0607,0.5726,0.0637
2,0.6565,0.1866,0.3152,0.4945,0.4649
3,0.632,0.2124,0.3909,0.5522,0.5736
4,0.6084,0.2286,0.415,0.5467,0.6341
5,0.5984,0.249,0.4527,0.5646,0.6967
6,0.5926,0.2491,0.4635,0.6,0.6721
7,0.583,0.2492,0.484,0.6519,0.6542
8,0.5769,0.2594,0.4762,0.6114,0.6841
9,0.5707,0.2605,0.4752,0.6244,0.6667
10,0.5657,0.259,0.4822,0.6497,0.6534
11,0.5616,0.2773,0.4955,0.6103,0.7259
12,0.5506,0.2795,0.5034,0.6339,0.7113
13,0.5499,0.2802,0.4949,0.6257,0.7047
14,0.5438,0.2687,0.474,0.6544,0.634
15,0.5387,0.2771,0.4863,0.6481,0.6623
16,0.5366,0.2823,0.4962,0.6515,0.6771
1,0.7237,0.1219,0.0009,0.0308,0.0009
2,0.6631,0.1502,0.1419,0.6914,0.1531
3,0.6387,0.1623,0.2045,0.6038,0.2368
4,0.6038,0.2059,0.375,0.6917,0.4511
5,0.5763,0.233,0.3908,0.6511,0.4949
6,0.5573,0.2639,0.4244,0.5881,0.6054
7,0.5431,0.2546,0.4029,0.6376,0.5236
8,0.5407,0.2775,0.4491,0.6411,0.6014
9,0.5309,0.2852,0.4485,0.6305,0.61
10,0.5265,0.2925,0.4674,0.6548,0.6219
11,0.5119,0.2987,0.4658,0.6513,0.6217
12,0.5191,0.3059,0.4795,0.6418,0.6559
13,0.5134,0.3155,0.4836,0.6293,0.6779
14,0.5136,0.2954,0.48,0.707,0.6012
15,0.5037,0.3235,0.4968,0.6424,0.6883
16,0.5089,0.3116,0.4801,0.6517,0.6473
17,0.5031,0.3164,0.503,0.686,0.6555
18,0.5004,0.3238,0.5022,0.643,0.6981
19,0.4977,0.3054,0.4709,0.6646,0.6194
20,0.5039,0.3264,0.5096,0.6767,0.6754
1,0.7178,0.1324,0.0014,0.0286,0.0015
2,0.6606,0.1451,0.0056,0.3783,0.0057
3,0.6303,0.1799,0.32,0.6015,0.4056
4,0.598,0.2197,0.3718,0.5223,0.5626
5,0.5779,0.2478,0.4068,0.5787,0.5793
6,0.5581,0.2367,0.387,0.5734,0.5429
7,0.5444,0.2607,0.4353,0.6726,0.5541
8,0.5366,0.2826,0.4576,0.6219,0.6351
9,0.5233,0.2913,0.4604,0.6416,0.622
10,0.5159,0.302,0.474,0.635,0.6531
11,0.5082,0.2938,0.4625,0.6314,0.6353
12,0.5115,0.3019,0.4735,0.6486,0.6378
13,0.5072,0.3119,0.5,0.6683,0.666
14,0.5147,0.3107,0.4823,0.6468,0.656
15,0.5071,0.3147,0.4686,0.6032,0.6785
16,0.5068,0.3129,0.4818,0.6371,0.6651
17,0.5076,0.3183,0.4958,0.6572,0.67
1,0.723,0.1328,0.006,0.1685,0.0061
2,0.6716,0.1549,0.1676,0.5392,0.1975
3,0.6522,0.1702,0.2822,0.4652,0.42
4,0.6338,0.1948,0.3646,0.5355,0.5338
5,0.6129,0.2232,0.4109,0.5333,0.6428
6,0.598,0.2372,0.4102,0.5253,0.6537
7,0.5904,0.2418,0.4402,0.5787,0.649
8,0.5839,0.2447,0.452,0.6109,0.6359
9,0.5722,0.2605,0.4609,0.5796,0.6935
10,0.5658,0.2672,0.4729,0.5968,0.6959
11,0.5548,0.2747,0.4875,0.6121,0.7065
12,0.5479,0.2771,0.4876,0.6136,0.705
13,0.5456,0.2786,0.4857,0.6164,0.6973
14,0.5427,0.2718,0.4768,0.6427,0.6501
15,0.5341,0.2862,0.4739,0.5957,0.6998
16,0.5359,0.2849,0.4679,0.6011,0.68
1,0.6884,0.125,0.0039,0.1634,0.0039
2,0.6315,0.1634,0.1042,0.4914,0.1188
3,0.5869,0.2396,0.3906,0.6606,0.4891
4,0.5571,0.2668,0.4097,0.6094,0.5567
5,0.5449,0.2832,0.4331,0.6399,0.5733
6,0.5298,0.2992,0.4597,0.6265,0.634
7,0.5363,0.3089,0.4524,0.59,0.6589
8,0.528,0.2877,0.4367,0.6553,0.5678
9,0.5259,0.2904,0.4471,0.718,0.5437
10,0.5182,0.3063,0.4717,0.6652,0.62
11,0.5233,0.3096,0.4742,0.6869,0.6063
12,0.5085,0.3181,0.4868,0.667,0.6441
13,0.5142,0.3177,0.4807,0.6528,0.6471
14,0.5069,0.3103,0.4635,0.6644,0.6066
15,0.5057,0.3226,0.4942,0.6636,0.6607
16,0.5022,0.305,0.4576,0.6582,0.601
17,0.5127,0.3347,0.5222,0.6699,0.7038
18,0.504,0.3303,0.5044,0.6469,0.6968
19,0.5057,0.3206,0.491,0.6683,0.6505
20,0.4982,0.3224,0.4806,0.6651,0.6351
1,0.693,0.1153,0.001,0.0595,0.001
2,0.6439,0.1528,0.1048,0.359,0.1294
3,0.6141,0.1941,0.3283,0.5688,0.4429
4,0.5814,0.2723,0.4454,0.6129,0.6209
5,0.5644,0.2333,0.3359,0.5651,0.4535
6,0.5339,0.266,0.3906,0.6421,0.4998
7,0.5407,0.2879,0.4291,0.6509,0.5574
8,0.5368,0.2973,0.4628,0.6865,0.5871
9,0.5205,0.2715,0.4141,0.6836,0.5128
10,0.5385,0.2931,0.4521,0.6758,0.5784
11,0.5218,0.3017,0.4625,0.6746,0.5962
12,0.5162,0.3291,0.51,0.6548,0.6981
13,0.513,0.3043,0.4594,0.6494,0.6117
14,0.5114,0.3274,0.5109,0.6896,0.6644
15,0.5025,0.3032,0.4345,0.5856,0.6278
16,0.5055,0.3234,0.5131,0.7089,0.6509
17,0.5138,0.3129,0.4715,0.6288,0.6541
18,0.5189,0.3175,0.4836,0.6633,0.6418
19,0.5116,0.3213,0.4823,0.6221,0.6828
20,0.5051,0.3209,0.4896,0.6705,0.6456